All,Alle
"Wish List (%1)","Verlanglijst (%1)"
Apply,Toepassen
Configure,Configureren
"Add to Order by SKU","Toevoegen aan bestelling via art.nr."
"Add to Order","Voeg toe aan bestelling"
"Add Products to Order","Voeg producten toe aan bestelling"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.</span>"
"Remove All","Alles verwijderen"
"Only %1%2%3 left in stock","Slechts %1%2%3 op voorraad"
"You can buy up to %1 of these per purchase.","U kunt ten hoogste %1 van dit product per aankoop."
"You must buy at least %1 of these per purchase.","U moet ten minste %1 van dit product aanschaffen per aankoop."
"Specify the product's options.","Geef de productopties aan."
"Alert me when this item is available.","Waarschuw me wanneer dit product beschikbaar is."
"Shopping cart management is disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant."
Customers,Klanten
"Shopping Cart",Winkelwagen
"You do not have access to this.","U heeft geen toegang hier toe."
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"You cannot configure a product.","U kan het product niet aanpassen."
"You removed the items.","U heeft de producten verwijderd."
"You removed the item.","U heeft het product verwijderd."
"You added %1 to your shopping cart.","U heeft %1 aan uw winkelwagen toegevoegd."
"You cannot add a product.","U kan geen product toevoegen."
"Order by SKU","Bestel via art.nr."
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"We don't have as many of these as you want.","De voorraad is kleiner dan het aantal gevraagd."
"You can't add this many to your cart.","Het is niet mogelijk deze hoeveelheid aan de winkelwagen toe te voegen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"We can't add the item to your cart.","We kunnen het product niet toevoegen aan uw Winkelwagen."
"Please enter an actual number in the ""Qty"" field.","Vul een getal in bij het Aantal veld."
"This product is assigned to another website.","Dit product is aan een andere website toegewezen."
"You can add only enabled products.","Alleen actieve producten kunnen worden toegevoegd."
"You cannot upload this file.","Dit bestand kan niet worden geüpload."
"The file is empty.","Het bestand is leeg."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Er is geen Artikelnummer ingevuld. <a href=""%1"">Klik hier</a> om producten via Art.nr. toe te voegen."
"You have not entered a product SKU.","Er is geen artikelnummer ingevuld."
"We can't add a product to cart by id ""%1"".","Er kan geen product met id ""%1"" aan de winkelwagen worden toegevoegd."
"Something went wrong while reordering this product.","Er is een fout opgetreden tijdens het herbestellen van dit product."
"We can't find this wish list.","Deze verlanglijst kan niet gevonden worden."
"You added %1 product to your shopping cart.","U heeft %1 product aan uw winkelwagen toegevoegd."
"You added %1 products to your shopping cart.","U heeft %1 producten aan uw winkelwagen toegevoegd."
"%1 product requires your attention.","%1 product vereist uw aandacht."
"%1 products require your attention.","%1 producten vereisen uw aandacht."
"Yes, for Specified Customer Groups","Ja, voor opgegeven klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
No,Nee
"Please upload the file in .csv format.","Upload het bestand in .csv formaat."
"%1 item(s) need your attention.","%1 producten(en) vereisen uw aandacht."
"Apply Coupon Code","Pas kortingscode toe"
"Remove Coupon Code","Verwijder kortingscode"
"The coupon code ""%1"" is not valid.","Kortingscode ""%1"" is niet geldig."
"Shopping Cart Items","Producten in winkelwagen"
Qty,Aantal
Subtotal,Subtotaal
Discount,Korting
"Row Subtotal","Subtotaal rij"
Action,Actie
"No ordered items","Geen bestelde artikelen"
"Total %1 product(s)","Totaal %1 product(en)"
Subtotal:,Subtotaal:
"Please select",Selecteer
"Move to Wish List","Naar verlanglijst verplaatsen"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet u zeker dat u dit product wilt wissen?"
"SKU number",Art.nr.
"Upload File","Bestand uploaden"
"Your csv file must include ""sku"" and ""qty"" columns.","Het csv-bestand moet ""sku"" en ""qty"" kolommen bevatten."
Reset,Resetten
"SKU: ",Art.nr:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nog <span id=""%1_max_allowed"">%2</span> op voorraad"
Item,Product
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"What's this?","Wat is dit?"
"Incl. Tax","Incl. BTW"
"Excl. Tax","Excl. BTW"
"Edit item parameters","Wijzig product-parameters"
Edit,Bewerken
"Remove item","Verwijder dit artikel"
"Products Requiring Attention","Producten die aandacht behoeven"
"Add to Cart","In Winkelwagen"
Sku,Art.nr.
File,Bestand
"File extensions allowed: .csv","Toegestande extensie: .csv"
"Add Row","Rij Toevoegen"
"Remove Row","Rij verwijderen"
"Add Products By SKU","Voeg producten toe via SKU"
"Shopping Cart Management",Winkelwagenbeheer
"View Shopping Cart","Bekijk winkelwagen"
"View and modify Shopping Cart","Bekijk en wijzig winkelwagen"
"Order by SKU Settings","Bestel per Art.nr. Instellingen"
"Enable Order by SKU on My Account in Storefront","Bestel per Art.nr. inschakelen Account in winkelaanzicht"
"Customer Groups",Klantengroepen
"Apply Coupon","Pas kortingscode Toe"
"Order by SKU Description","Bestel via SKU Omschrijving"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definieert of een link naar Account &gt; Bestelling via art.nr, pagina wordt getoond op het widget"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","De tekst van de link naar de Account &gt; Bestelling via art.nr. pagina"
"Load a list of SKUs","Laad een lijst met SKU's"
"Order by SKU Template","Bestel via SKU Template"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"Entity type model '%1' is not found","Type entiteitsmodel '%1' is niet gevonden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteitstype model moet onderdeel zijn van\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Er zijn geen product-typen beschikbaar om te exporteren"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 class implementeert \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface niet"
"Sales Rule",Verkoopregel
"Index sales rule","Indexeer verkoopregel"
"Related Search Terms","Gerelateerde zoektermen"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"Missing search engine parameter.","Missend zoekmachine kenmerk."
"Successful! Test again?","Succesvol! Test opnieuw?"
"Connection failed! Test again?","Verbinding mislukt! Test opnieuw?"
"Enable Search Recommendations","Stel Zoek Aanbevelingen in staat"
"When you enable this option your site may slow down.","Indien u deze optie inschakeld kan uw website vertragen."
"Search Recommendations Count","Zoek Aanbevelings Telling"
"Show Results Count for Each Recommendation","Toon resultaten telling voor elke aanbeveling"
"Enable Search Suggestions","Zoeksuggesties inschakelen"
"Search Suggestions Count","Aantal zoeksuggesties"
"Show Results Count for Each Suggestion","Toon resultaten telling voor elke suggestie"
"Related search terms","Gerelateerde zoektermen"
"Did you mean","Bedoelde u"
"Search Query",Zoekterm
Store,Winkel
Results,Resultaten
Uses,Gebruikt
"Redirect URL","Doorverwijs URL"
"Suggested Term","Voorgestelde term"
Yes,Ja
"RPC call failed, connection timed out after %time_out.","RPC call mislukt, connectie time out na %time_out."
"Message has been rejected: %1","Bericht is afgekeurd: %1"
"Error while checking if topic is synchronous","Fout bij controle of onderwerp dubbel voorkomt"
"Subscription status",Abonnementsstatus
"Sorry, there has been an error processing your request. Please try again later.","Sorry, er is een fout opgetreden bij het verwerken van uw aanvraag. Probeer het later nog eens."
"Cron settings can't be saved","Cron instellingen konden niet worden opgeslagen"
"There was an error save new configuration value.","Er was een fout bij het opslaan van de nieuwe configuratiewaarde."
"Please select an industry.","Selecteer een branch."
"--Please Select--","--Maak een keuze--"
"These arguments can't be empty ""%1""","Deze argumenten mogen niet leeg zijn ""%1"""
"Cannot find predefined integration user!","Vooraf gedefinieerde integratiegebruiker niet gevonden!"
"File is not ready yet.","Bestand is nog niet klaar."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Uw basis-URL is veranderd en uw rapporten worden bijgewerkt. Geavanceerde rapportage zal beschikbaar zijn zodra deze wijziging is verwerkt. Probeer het later nog eens."
"Failed to synchronize data to the Magento Business Intelligence service. ","Gegevens synchroniseren met de Magento Business Intelligence service mislukt. "
"Retry Synchronization","Opnieuw synchroniseren"
TestMessage,TestBericht
"Apps and Games","Apps en Games"
"Athletic/Sporting Goods","Atletiek/Sport goederen"
"Art and Design","Kunst en Design"
"Advanced Reporting","Geavanceerde rapportages"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Krijg nieuwe inzichten en neem de leiding over de prestaties van uw bedrijf, gebruikmakend van onze dynamische product-, order- en klantrapporten op maat van uw klantgegevens."
"Go to Advanced Reporting","Ga naar de geavanceerde rapportage"
Analytics,Analyse
Configuration,Configuratie
"Business Intelligence","Business intelligence"
"BI Essentials","BI Essentieel"
"Advanced Reporting Service","Geavanceerde rapportage service"
"Time of day to send data","Moment van de dag om gegevens te verzenden"
Industry,Industrie
"In order to personalize your Advanced Reporting experience, please select your industry.","Selecteer uw branche om uw ervaring van geavanceerde rapportage te personaliseren."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>meer inzicht krijgen van Magento Business Intelligence</strong>"
"Auto Parts",Auto-onderdelen
"Baby/Children’s Apparel, Gear and Toys","Baby / kinderkleding, uitrusting en speelgoed"
"Beauty and Cosmetics","Schoonheid en cosmetica"
"Books, Music and Magazines","Muziek, boeken en tijdschriften"
"Crafts and Stationery","Ambachten en schrijfbehoeften"
"Consumer Electronics",Consumentenelektronica
"Deal Site",Aanbieding-site
"Fashion Apparel and Accessories","Mode kleding en accessoires"
"Food, Beverage and Grocery","Voedsel, drank en boodschappen"
"Home Goods and Furniture","Huishoudartikelen en meubilair"
"Home Improvement",Doe-het-zelf
"Jewelry and Watches","Sieraden en horloges"
"Mass Merchant","Massale koopman"
"Office Supplies",Kantoorartikelen
"Outdoor and Camping Gear","Outdoor- en kampeeruitrusting"
"Pet Goods","Huisdier goederen"
"Pharma and Medical Devices","Farma en medische hulpmiddelen"
"Technology B2B","Technologie B2B"
Done,Gereed
Retry,"Opnieuw proberen"
"'Action Details - #' .","'Actie Details - #'."
"%1 item(s) have been scheduled for update.""","%1 object(en) zijn gepland voor update."""
"Bulk Actions Log","Bulk acties Log"
"%1 item(s) are currently being updated.","%1 item(s) worden momenteel bijgewerkt."
"Task ""%1"": ","Taak ""%1"": "
"%1 item(s) have been scheduled for update.","%1 object(en) zijn gepland voor update."
"%1 item(s) have been successfully updated.","%1 object(en) zijn succesvol bijgewerkt."
"%1 item(s) failed to update","%1 object(en) niet gelukt om te updaten"
Details,Gegevens
"View Details","Bekijk details"
Dismiss,Afwijzen
"Pending, in queue...","In behandeling, in wachtrij..."
"%1 items selected for mass update","%1 items geselecteerd voor mass update"
", %1 successfully updated",", %1 bijgewerkt"
", %1 failed to update",", %1 bijwerken mislukt"
"Something went wrong.","Er is iets fout gegaan."
"Action Log","Actie logboek"
"Bulk Actions",Bulkacties
"Days Saved in Log","Dagen opgeslagen in logboek"
"Description of Operation","Beschrijving van werking"
Summary,Samenvatting
"Start Time","Begin Tijd"
"Items to Retry","Items om opnieuw te proberen"
"To retry, select the items and click “Retry”.","Om de items nogmaals proberen te verwerken. Selecteer de items en klik op ""Opnieuw proberen""."
"Items That Can’t Be Updated.","Producten die niet kunnen worden bijgewerkt."
Status,status
"Meta Information","Meta informatie"
Error,Foutmelding
"Dismiss All Completed Tasks","Alle voltooide taken verwijderen"
"Action Details - #","Actie Details - #"
"Number of Records Affected","Aantal rijen aangedaan"
"The role wasn't found for the user. Verify the role and try again.","De rol is niet gevonden voor de gebruiker. Controleer de rol en probeer het opnieuw."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Er ging iets mis tijdens het compileren van een lijst van toegestane resources. U vindt meer informatie in de exceptions log."
"You created the order.","U heeft de order aangemaakt."
"Order saving error: %1","Fout tijdens opslaan van order: %1"
"Please choose a payment method.","Kies een betaalwijze."
"We can't process your order right now. Please try again later.","We kunnen uw bestelling nu niet verwerken. Probeer het later nog eens."
"An error occurred on the server. Please try to place the order again.","Er is een fout opgetreden op de server. Probeer de bestelling opnieuw te plaatsen."
"Credit Card: xxxx-%1","Creditcard: xxxx-%1"
"amount %1","bedrag %1"
failed.,mislukt.
successful.,succesvol.
"Authorize.Net Transaction ID %1.","Authorize.Net Transactie ID %1."
authorize,autoriseer
"authorize and capture","autoriseren en vastleggen"
capture,vastleggen
refund,restitutie
void,ongeldig
"Gateway error: %1","Portaal fout: %1"
"Something went wrong in the payment gateway.","Er is een fout opgetreden in het betaal portaal."
"Invalid amount for capture.","Ongeldig bedrag voor het vastleggen."
"Payment capturing error.","Betalingsfout bij het vastleggen van de betaling."
"Invalid transaction ID.","Incorrect transactie ID."
"Payment voiding error.","Fout bij het ongeldig maken van betalingen."
"Invalid amount for refund.","Ongeldig bedrag voor terugbetaling."
"Payment refunding error.","Fout in de terugbetaling van de betaling."
"The transaction was declined because the response hash validation failed.","De transactie is afgekeurd omdat de antwoord hash validatie niet klopte."
"This payment didn't work out because we can't find this order.","De transactie is afgekeurd omdat de bestelling niet gevonden kan worden."
"There was a payment authorization error.","Er was een betalings-autorisatie fout."
"Please enter a transaction ID to authorize this payment.","Voer een transactie-ID voor het autoriseren van deze betaling."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Er ging iets mis: het betaalde bedrag komt niet overeen met het bedrag van de bestelling. Corrigeer dit en probeer het opnieuw."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transactie %1 is goedgekeurd. Bedrag %2. De status van de transactie is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transactie %1 is ongeldig/geweigerd. De status van de transactie is ""%2"". Bedrag %3."
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Autoriseren en vastleggen"
"Unable to get transaction details. Try again later.","Het is niet mogelijk om de transactie details op te halen. Probeer het later opnieuw."
"Electronic payments save the trees.","Electronische betalingen red de bomen."
"Credit Card Type","Kredietkaart type"
"Please Select",Selecteer
"Credit Card Number",Kredietkaartnummer
"Expiration Date",Vervaldatum
"Card Verification Number",Verificatienummer
"Fraud Detection ","Fraude detectie "
"FDS Filter Action","FDS filteractie"
"AVS Response","AVS Antwoord"
"Card Code Response","Kaart Code Antwoord"
"CAVV Response","CAVV Antwoord"
"Fraud Filters","Fraude Filters"
"Place Order","Plaats bestelling"
"Sorry, but something went wrong. Please contact the seller.","Er ging iets mis. Neem contact op met de verkoper."
"Authorize.net Direct Post","Authorize.net Directe Post"
Enabled,Ingeschakeld
"Payment Action",Betaling
Title,Titel
"API Login ID","API Login-ID"
"Transaction Key",Transactiecode
"Merchant MD5","Webwinkelier MD5"
"New Order Status","Nieuwe orderstatus"
"Test Mode","Test Modus"
"Gateway URL","Betaalplatform URL"
"Transaction Details URL","Transactie Details Url"
"Accepted Currency","Toegestane valuta"
Debug,"Fouten opsporen"
"Email Customer","E-mail klant"
"Merchant's Email","Handelaar E-mail"
"Credit Card Types","Kredietkaart types"
"Credit Card Verification",Creditcard-verficatie
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Minimum Order Total","Minimum orderbedrag"
"Maximum Order Total","Maximum orderbedrag"
"Sort Order",Sorteervolgorde
"Cannot place order.","Kan geen bestelling plaatsen."
"'Gateway error: ' .","'Gateway fout: ' ."
"Unable to place order. Please try again later.","Kan bestelling niet plaatsen. Probeer het later opnieuw."
"A server error stopped your order from being placed. Please try to place your order again.","Een serverfout heeft er voor gezorgd dat de bestelling niet geplaatst kan worden. Probeer uw bestelling nogmaals te plaatsen."
"The transaction details are unavailable. Please try again later.","De transactiedetails zijn niet beschikbaar. Probeer het later opnieuw."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Directe Post (Afgekeurd)"
"Signature Key",Handtekeningssleutel
"There was an error while trying to process the request.","Er is een fout opgetreden bij het verwerken van het verzoek."
"This transaction cannot be refunded with its current status.","Deze transactie kan niet worden terugbetaald met de huidige status."
"The authenticity of the gateway response could not be verified.","De authenticiteit van de gateway reactie kon niet worden geverifieerd."
"Basic Authorize.Net Settings","Basis Authorize.Net instellingen"
Environment,Omgeving
"Public Client Key","Publieke Klant Sleutel"
"Signature Key","Handtekening Key"
"Merchant MD5 (deprecated)","Handelaar MD5 (verouderd)"
"Advanced Authorize.Net Settings","Geavanceerde Authorize.Net instellingen"
"Enable Credit Card Verification Field","Schakel het verificatieveld creditcard in"
"Invalid request to gateway.","Ongeldig verzoek naar gateway."
"Invalid gateway credentials.","Ongeldige gateway-inloggegevens."
"Transaction has been declined. Please try again later.","Transactie is afgewezen. Probeer het later nog eens."
options,opties
"Select all","Alles selecteren"
"Deselect all","Alles deselecteren"
"We couldn't find any records.","We konden geen records vinden."
Show,Weergeven
"per page","per pagina"
"%s of %s selected","%s van %s geselecteerd"
"Search by keyword","Zoeken op trefwoord"
"This is a required field.","Dit is een verplicht veld."
"B2B Features","B2B functies"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"You entered an invalid Secret Key. Please refresh the page.","Er is een incorrecte Secret Key ingevoerd. Ververs de pagina."
"Invalid security or form key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"Cache Storage Management","Beheer cachegeheugen"
"Flush Magento Cache","Leeg Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","De cache opslag kan extra informatie bevatten. Weet u zeker dat u dit wil legen?"
"Flush Cache Storage","Leeg Cachegeheugen"
Invalidated,Ongeldig
Orders,Bestellingen
Amounts,Bedragen
Bestsellers,"Meest verkochte producten"
"Most Viewed Products","Meest bekeken producten"
"New Customers","Nieuwe klanten"
Customer,Klant
Guest,Bezoeker
Items,Producten
Total,Totaal
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Average Order","Gemiddelde orderwaarde"
Average,Gemiddeld
Views,Weergaven
Revenue,Omzet
Tax,BTW
Shipping,Aflevering
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"All Files","Alle bestanden"
"Reset to Default","Standaard herstellen"
"All Store Views","Alle Winkelaanzichten"
"What is this?","Wat is dit?"
"Save Account","Account opslaan"
"My Account",Account
"Account Information","Account Gegevens"
"User Name",Gebruikersnaam
"First Name",Voornaam
"Last Name",Achternaam
Email,E-mail
"User Email","E-mail van gebruiker"
"New Password","Nieuw wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Interface Locale",Interfacetaal
"Current User Identity Verification","Huidige gebruiker verificatie"
"Your Password","Uw wachtwoord"
"Save Cache Settings","Cache-instellingen opslaan"
"Catalog Rewrites",URL-herschrijvingen
Refresh,Vernieuwen
"Images Cache",Afbeeldingen-cache
Clear,Legen
"Search Index",Zoekindex
Rebuild,Herindexeren
"Inventory Stock Status",Voorraad-status
"Rebuild Catalog Index","Catalogus index opnieuw opbouwen"
"Rebuild Flat Catalog Category","Platte categorie catalogus opnieuw opbouwen"
"Rebuild Flat Catalog Product","Platte product catalogus opnieuw opbouwen"
"Cache Control","Beheer cache"
"All Cache","Gehele cache"
"No change","Geen wijziging"
Disable,Uitschakelen
Enable,Inschakelen
"Add Design Change","Design wijziging toevoegen"
Delete,Verwijder
Save,Opslaan
"Edit Design Change","Design wijziging bewerken"
"New Store Design Change","Nieuwe winkel design wijziging"
"General Settings","Algemene instellingen"
"-- Please Select --","-- Selecteer --"
"Custom Design","Eigen design"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Design Change","Design wijziging"
General,Algemeen
"Delete %1 '%2'","Verwijder %1 '%2'"
"Delete %1","Verwijder %1"
"Block Information","Blok informatie"
"Backup Options","Backup opties"
"Create DB Backup","Database backup aanmaken"
"Delete Store","Winkel verwijderen"
"Delete Web Site","Verwijder website"
"Save Web Site","Website opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelaanzicht opslaan"
"Delete Store View","Winkelaanzicht verwijderen"
"Edit Web Site","Website bewerken"
"New Web Site","Nieuwe website"
"Edit Store","Winkel bewerken"
"New Store","Nieuwe winkel"
"Edit Store View","Winkelaanzicht bewerken"
"New Store View","Nieuw winkelaanzicht"
"Store Information",Winkelinformatie
"Web Site",Website
Name,Naam
Code,"Interne naam/code"
"Root Category","Hoofd categorie/root"
"Default Store View","Standaard winkelaanzicht"
"Store View Information","Winkelaanzicht gegevens"
Disabled,Uitgeschakeld
"Web Site Information","Website gegevens"
"Default Store","Standaard winkel"
"Set as Default","Instellen als standaard"
Stores,Winkels
"Create Website","Website aanmaken"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelaanzicht aanmaken"
Reset,Herstel
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Add New Image","Nieuwe afbeelding toevoegen"
"Export block for grid %1 is not defined","Export blok voor tabel %1 niet is gedefinieerd"
"Reset Filter","Herstel filter"
Search,Zoek
Any,Elke
"All Countries","Alle landen"
From,Van
To,Tot
"Date selector",Datumkiezer
"[ deleted ]","[ verwijderd ]"
"Select All","Alles selecteren"
" [deleted]"," [verwijderd]"
"We couldn't find any records.","Geen record(s) gevonden."
"Add New","Voeg nieuwe toe"
"Invalid export type supplied for grid export block","Ongeldig export type opgegeven voor export rasterblok"
Export,Exporteer
"Please correct the column format and try again.","Corrigeer de kolomindeling en probeer het opnieuw."
"An item needs to be selected. Select and try again.","Een item moet worden geselecteerd. Selecteer en probeer het opnieuw."
Submit,Verstuur
"Unknown block type","Onbekend bloktype"
"Please correct the tab configuration and try again. Tab Id should be not empty","Corrigeer de tab configuratie en probeer het opnieuw. Tab ID mag niet leeg zijn"
"Please correct the tab configuration and try again.","Corrigeer de tab configuratie en probeer het opnieuw."
"You have logged out.","U bent afgemeld."
"These cache type(s) don't exist: %1","Deze cache-type(s) bestaan niet: %1"
"The image cache was cleaned.","Het afbeeldingen cachegeheugen werd opgeschoond."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"The JavaScript/CSS cache has been cleaned.","Het JavaScript/CSS cachegeheugen werd opgeschoond."
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript/CSS cache."
"The static files cache has been cleaned.","De statische bestanden cache is opgeschoond."
"You flushed the cache storage.","U heeft de cache-opslag geleegd."
"The Magento cache storage has been flushed.","De Magento-cacheopslag is leeg gemaakt."
"Cache Management","Cache beheer"
"You can't change status of cache type(s) in production mode","U kunt de status van cache type(s) niet wijziging in productie modus"
"%1 cache type(s) disabled.","%1 cache type(s) uitgeschakeld."
"An error occurred while disabling cache.","Er is een fout opgetreden tijdens het uitschakelen van de cache."
"%1 cache type(s) enabled.","%1 cache type(s) ingeschakeld."
"An error occurred while enabling cache.","Er is een fout opgetreden tijdens het inschakelen van de cache."
"%1 cache type(s) refreshed.","%1 cache type(s) vernieuwd."
"An error occurred while refreshing cache.","Er is een fout opgetreden bij het vernieuwen van de cache."
"We updated lifetime statistic.","Alle historische statistieken zijn bijgewerkt."
"We can't refresh lifetime statistics.","Historische statistieken bijwerken niet gelukt."
"invalid request","ongeldige aanvraag"
"see error log for details","bekijk het error logboek voor details"
"Service unavailable: %1","Service niet beschikbaar: %1"
"Access Denied.","Toegang geweigerd."
"You need more permissions to do this.","U heeft meer bevoegdheden nodig om dit te doen."
"No search modules were registered","Er zijn geen zoekmodules geregistreerd."
